iter	Passed	Remaining
1342	50801	24852
1343	50840	24814
1344	50877	24776
1345	50913	24738
1346	50950	24699
1347	50987	24661
1348	51024	24623
1349	51062	24585
1350	51099	24547
1351	51135	24508
1352	51173	24470
1353	51210	24432
1354	51249	24395
1355	51286	24357
1356	51324	24319
1357	51362	24281
1358	51399	24243
1359	51436	24205
1360	51474	24167
1361	51509	24128
1362	51546	24090
1363	51585	24052
1364	51621	24014
1365	51658	23976
1366	51695	23938
1367	51732	23899
1368	51768	23861
1369	51807	23823
1370	51845	23786
1371	51883	23748
1372	51922	23711
1373	51960	23673
1374	51997	23635
1375	52035	23597
1376	52074	23560
1377	52110	23521
1378	52150	23484
1379	52187	23446
1380	52224	23408
1381	52260	23369
1382	52297	23331
1383	52336	23294
1384	52375	23257
1385	52411	23218
1386	52449	23180
1387	52486	23142
1388	52523	23104
1389	52560	23066
1390	52600	23029
1391	52637	22991
1392	52673	22952
1393	52711	22914
1394	52748	22876
1395	52786	22838
1396	52825	22801
1397	52861	22763
1398	52899	22725
1399	52936	22687
1400	52974	22649
1401	53012	22611
1402	53051	22574
1403	53087	22535
1404	53125	22497
1405	53162	22459
1406	53199	22421
1407	53235	22383
1408	53274	22345
1409	53313	22308
1410	53350	22270
1411	53387	22232
1412	53425	22194
1413	53463	22156
1414	53501	22118
1415	53540	22081
1416	53579	22044
1417	53615	22005
1418	53652	21967
1419	53689	21929
1420	53726	21891
1421	53763	21853
1422	53802	21815
1423	53839	21777
1424	53876	21739
1425	53913	21701
1426	53950	21663
1427	53986	21624
1428	54025	21587
1429	54061	21549
1430	54099	21511
1431	54136	21472
1432	54175	21435
1433	54212	21397
1434	54249	21359
1435	54286	21321
1436	54323	21283
1437	54360	21245
1438	54399	21207
1439	54436	21169
1440	54474	21131
1441	54510	21093
1442	54547	21055
1443	54585	21017
1444	54622	20979
1445	54659	20941
1446	54696	20903
1447	54733	20865
1448	54770	20827
1449	54808	20789
1450	54848	20752
1451	54889	20715
1452	54930	20679
1453	54968	20641
1454	55009	20604
1455	55046	20566
1456	55085	20529
1457	55122	20491
1458	55161	20453
1459	55197	20415
1460	55235	20377
1461	55273	20339
1462	55309	20301
1463	55347	20263
1464	55387	20226
1465	55423	20188
1466	55461	20150
1467	55499	20112
1468	55536	20074
1469	55573	20036
1470	55611	19998
1471	55650	19961
1472	55687	19923
1473	55728	19886
1474	55765	19848
1475	55801	19810
1476	55839	19772
1477	55876	19734
1478	55913	19696
1479	55951	19658
1480	55989	19620
1481	56026	19582
1482	56065	19545
1483	56103	19507
1484	56142	19470
1485	56179	19432
1486	56216	19394
1487	56253	19356
1488	56291	19318
1489	56330	19280
1490	56368	19243
1491	56405	19205
1492	56442	19167
1493	56479	19128
1494	56516	19090
1495	56555	19053
1496	56595	19016
1497	56632	18978
1498	56670	18940
1499	56707	18902
1500	56743	18864
1501	56782	18826
1502	56820	18789
1503	56858	18751
1504	56894	18712
1505	56931	18674
1506	56968	18636
1507	57006	18598
1508	57044	18561
1509	57081	18523
1510	57118	18485
1511	57155	18446
1512	57192	18409
1513	57230	18371
1514	57267	18333
